"name","salary_2017","salary_adjustments","salary_2018","increase"
"Employee 1",40788.24,5182.4,45970.64,TRUE
"Employee 2",41832.2,3891.42,45723.62,TRUE
"Employee 3",41782.44,6018.53,47800.97,TRUE
"Employee 4",44632.6,4161.19,48793.79,TRUE
"Employee 5",43140.79,876.29,44017.08,TRUE
"Employee 6",43283.51,4670.09,47953.6,TRUE
"Employee 7",45645.87,7263.95,52909.82,TRUE
"Employee 8",46971.15,-567.64,46403.51,FALSE
"Employee 9",42020.41,-116.51,41903.9,FALSE
"Employee 10",48833.02,7190.32,56023.34,TRUE
"Employee 11",49395.88,3023.24,52419.12,TRUE
"Employee 12",40861.18,5493.87,46355.05,TRUE
"Employee 13",48410.69,9508.93,57919.62,TRUE
"Employee 14",49065.74,838.44,49904.18,TRUE
"Employee 15",47253.8,4455.89,51709.69,TRUE
"Employee 16",46407.98,-3945.63,42462.35,FALSE
"Employee 17",45918.4,61.97,45980.37,TRUE
"Employee 18",47669.12,6444.51,54113.63,TRUE
"Employee 19",40170.3,3995.02,44165.32,TRUE
"Employee 20",41443.91,-2100.51,39343.4,FALSE
"Employee 21",43550.02,4825.21,48375.23,TRUE
"Employee 22",49563.83,7652.63,57216.46,TRUE
"Employee 23",46502.34,-1883.44,44618.9,FALSE
"Employee 24",40594.83,1665.26,42260.09,TRUE
"Employee 25",42110.85,-316.6,41794.25,FALSE
"Employee 26",41015.09,3664.95,44680.04,TRUE
"Employee 27",45917.09,6926.42,52843.51,TRUE
"Employee 28",40381.47,5623.62,46005.09,TRUE
"Employee 29",41786.77,7641.51,49428.28,TRUE
"Employee 30",44140.31,-2281.17,41859.14,FALSE
"Employee 31",48153.86,7172.61,55326.47,TRUE
"Employee 32",43343.19,4749.02,48092.21,TRUE
"Employee 33",43797.27,-2286.75,41510.52,FALSE
"Employee 34",46056.69,2507.62,48564.31,TRUE
"Employee 35",40488.76,9407.22,49895.98,TRUE
"Employee 36",41645.94,4103.96,45749.9,TRUE
"Employee 37",41702.96,1507.54,43210.5,TRUE
"Employee 38",45203.26,3165.42,48368.68,TRUE
"Employee 39",40621.06,4470.13,45091.19,TRUE
"Employee 40",43823.34,-4591.08,39232.26,FALSE
"Employee 41",43404.6,-616.48,42788.12,FALSE
"Employee 42",44615.26,3101.68,47716.94,TRUE
"Employee 43",43502.25,3076.19,46578.44,TRUE
"Employee 44",40299.14,-861.62,39437.52,FALSE
"Employee 45",43627.97,-2253.26,41374.71,FALSE
"Employee 46",48300.5,148.03,48448.53,TRUE
"Employee 47",45075.77,6752.29,51828.06,TRUE
"Employee 48",40677.03,8832.23,49509.26,TRUE
"Employee 49",40484.36,1130.84,41615.2,TRUE
"Employee 50",44348.74,5499.41,49848.15,TRUE
"Employee 51",42185.43,1562.44,43747.87,TRUE
"Employee 52",47169.07,-2031.66,45137.41,FALSE
"Employee 53",48024.09,-4148.07,43876.02,FALSE
"Employee 54",48290.26,7519.33,55809.59,TRUE
"Employee 55",49011.21,-1445.11,47566.1,FALSE
"Employee 56",49820.66,5534.94,55355.6,TRUE
"Employee 57",43770.59,5797.28,49567.87,TRUE
"Employee 58",47507.77,2553.13,50060.9,TRUE
"Employee 59",44016.75,3844.89,47861.64,TRUE
"Employee 60",44433.19,-2669.02,41764.17,FALSE
"Employee 61",49126.12,-4933.21,44192.91,FALSE
"Employee 62",42240.7,7430.32,49671.02,TRUE
"Employee 63",49183.63,6113.43,55297.06,TRUE
"Employee 64",41311.19,-3854.59,37456.6,FALSE
"Employee 65",43764.95,4444.99,48209.94,TRUE
"Employee 66",44922.15,9015.16,53937.31,TRUE
"Employee 67",49003.42,4690.4,53693.82,TRUE
"Employee 68",47464.05,9404.16,56868.21,TRUE
"Employee 69",48454.2,8609.98,57064.18,TRUE
"Employee 70",44576.09,7134.82,51710.91,TRUE
"Employee 71",48585.27,159.34,48744.61,TRUE
"Employee 72",44448.27,7973.98,52422.25,TRUE
"Employee 73",42230.22,4556.8,46787.02,TRUE
"Employee 74",45603.78,5802.8,51406.58,TRUE
"Employee 75",43645.39,2162.75,45808.14,TRUE
"Employee 76",45151.77,4879.93,50031.7,TRUE
"Employee 77",44353.56,4370.6,48724.16,TRUE
"Employee 78",40496.84,-4496.38,36000.46,FALSE
"Employee 79",44167.18,9682.98,53850.16,TRUE
"Employee 80",47781,3049.29,50830.29,TRUE
"Employee 81",48111.79,1339.58,49451.37,TRUE
"Employee 82",40893.82,4182.91,45076.73,TRUE
"Employee 83",41585.84,2151.47,43737.31,TRUE
"Employee 84",46081.39,-181.4,45899.99,FALSE
"Employee 85",45768.23,545.5,46313.73,TRUE
"Employee 86",45200.37,5576.17,50776.54,TRUE
"Employee 87",48204.3,-4532.01,43672.29,FALSE
"Employee 88",45560.47,7432.07,52992.54,TRUE
"Employee 89",46910.73,5894.52,52805.25,TRUE
"Employee 90",47837.6,-4903.69,42933.91,FALSE
"Employee 91",48629.03,9822.65,58451.68,TRUE
"Employee 92",44303.88,-2224.18,42079.7,FALSE
"Employee 93",45246.02,-4906.83,40339.19,FALSE
"Employee 94",47500.2,-3072.76,44427.44,FALSE
"Employee 95",48228.81,5008.93,53237.74,TRUE
"Employee 96",42733.18,7233.46,49966.64,TRUE
"Employee 97",45291.68,-1009.37,44282.31,FALSE
"Employee 98",41889.45,-821.81,41067.64,FALSE
"Employee 99",47368.88,7218.89,54587.77,TRUE
"Employee 100",46586.62,-722.44,45864.18,FALSE
